차량ID,연비,연료타입,차급,외형,엔진,가격,이미지,출력,URL
 2025 링컨 에비에이터(2세대),7.7km/ℓ,가솔린,대형,SUV,4WD,1440,http://file.carisyou.com/upload/2024/10/21/FILE_202410210107377440.png,406마력,https://www.carisyou.com/car/7430/Spec
 2025 벤츠 마이바흐 S클래스(7세대),6.1 ~ 8.1km/ℓ,가솔린,대형,세단,4WD,39360,http://file.carisyou.com/upload/2021/10/28/FILE_202110280232451480.png,503마력,https://www.carisyou.com/car/7429/Spec
 2025 벤츠 S클래스(7세대),7.8 ~ 13.0km/ℓ,"가솔린,가솔린/하이브리드,디젤",대형,세단,4WD,29160,http://file.carisyou.com/upload/2022/09/23/FILE_202209230928452320.png,313마력,https://www.carisyou.com/car/7428/Spec
 2025 롤스로이스 컬리넌,5.4 ~ 5.5km/ℓ,가솔린,대형,SUV,4WD,67000,http://file.carisyou.com/upload/2024/10/18/FILE_202410181002555360.png,571마력,https://www.carisyou.com/car/7426/Spec
 2025 현대 뉴 캐스퍼,12.3 ~ 14.3km/ℓ,가솔린,경형,SUV,FF,2070,http://file.carisyou.com/upload/2024/10/17/FILE_202410170250447890.png,76마력,https://www.carisyou.com/car/7425/Spec
 2025 BMW 7시리즈(7세대),10.3 ~ 15.0km/ℓ,"가솔린,가솔린/하이브리드,디젤",대형,세단,4WD,23630,http://file.carisyou.com/upload/2022/07/08/FILE_202207080916071430.png,286마력,https://www.carisyou.com/car/7424/Spec
 2025 BMW i7,3.3 ~ 3.8km/kwh,전기,대형,세단,2WD,23760,http://file.carisyou.com/upload/2022/07/08/FILE_202207081005584990.png,455마력,https://www.carisyou.com/car/7423/Spec
 2025 기아 뉴 카니발 하이브리드(KA4),12.4 ~ 14.0km/ℓ,가솔린/하이브리드,대형,RV,FF,9831,http://file.carisyou.com/upload/2024/02/05/FILE_202402050415167530.png,180마력,https://www.carisyou.com/car/7422/Spec
 2025 기아 뉴 카니발(KA4),8.5 ~ 13.1km/ℓ,"가솔린,디젤",대형,RV,FF,9239,http://file.carisyou.com/upload/2024/02/05/FILE_202402050415071560.png,294마력,https://www.carisyou.com/car/7421/Spec
 2025 BMW X3(4세대),10.6 ~ 14.0km/ℓ,"가솔린,디젤",준중형,SUV,4WD,9870,http://file.carisyou.com/upload/2024/10/14/FILE_202410140313144470.png,190마력,https://www.carisyou.com/car/7420/Spec
 2025 랜드로버 레인지로버 이보크(2세대),8.9km/ℓ,가솔린,준중형,SUV,4WD,8140,http://file.carisyou.com/upload/2024/03/26/FILE_202403261110208410.png,249마력,https://www.carisyou.com/car/7419/Spec
 2025 제네시스 뉴 GV80 쿠페,7.8 ~ 8.3km/ℓ,가솔린,준대형,SUV,4WD,1822,http://file.carisyou.com/upload/2023/09/27/FILE_202309270132284800.png,304마력,https://www.carisyou.com/car/7418/Spec
 2025 제네시스 뉴 GV80,7.7 ~ 9.3km/ℓ,가솔린,준대형,SUV,FR,9717,http://file.carisyou.com/upload/2023/09/27/FILE_202309270128370680.png,304마력,https://www.carisyou.com/car/7417/Spec
 2025 랜드로버 레인지로버 스포츠(3세대),7.1 ~ 8.7km/ℓ,"가솔린,가솔린/하이브리드",중형,SUV,4WD,26085,http://file.carisyou.com/upload/2024/01/30/FILE_202401300337217010.png,360마력,https://www.carisyou.com/car/7416/Spec
 2025 랜드로버 디스커버리 스포츠,8.2km/ℓ,가솔린,준중형,SUV,4WD,7780,http://file.carisyou.com/upload/2024/01/30/FILE_202401300340302500.png,249마력,https://www.carisyou.com/car/7415/Spec
 2025 포르쉐 파나메라(3세대),7.2 ~ 8.0km/ℓ,"가솔린,가솔린/하이브리드",대형,해치백,4WD,34920,http://file.carisyou.com/upload/2023/11/27/FILE_202311271017266300.png,360마력,https://www.carisyou.com/car/7414/Spec
 2025 벤츠 E클래스(6세대),8.6 ~ 12.3km/ℓ,"가솔린,가솔린/하이브리드",중형,세단,FR,16080,http://file.carisyou.com/upload/2024/01/04/FILE_202401040227284180.png,204마력,https://www.carisyou.com/car/7413/Spec
 2025 벤츠 GLC(3세대),8.7 ~ 14.5km/ℓ,"가솔린,디젤",준중형,SUV,4WD,1930,http://file.carisyou.com/upload/2023/06/16/FILE_202306161010404980.png,197마력,https://www.carisyou.com/car/7412/Spec
 2025 BMW 2시리즈 액티브 투어러(2세대),11.1 ~ 16.0km/ℓ,"가솔린,디젤",준중형,RV,FF,5210,http://file.carisyou.com/upload/2022/08/04/FILE_202208040204075900.png,204마력,https://www.carisyou.com/car/7411/Spec
 2025 기아 봉고3 EV,2.7 ~ 3.1km/kwh,전기,소형,트럭,2WD,6227,http://file.carisyou.com/upload/2021/12/24/FILE_202112241114245700.png,-마력,https://www.carisyou.com/car/7409/Spec
 2025 벤츠 G클래스(2세대),"3.0 ~ 10.0km/kwh,km/ℓ","가솔린,디젤,전기",중형,SUV,4WD,27960,http://file.carisyou.com/upload/2024/10/04/FILE_202410041244281710.png,367마력,https://www.carisyou.com/car/7407/Spec
 2025 기아 뉴 레이 EV,5.1km/kwh,전기,경형,RV,2WD,2955,http://file.carisyou.com/upload/2023/08/29/FILE_202308291058138900.png,87마력,https://www.carisyou.com/car/7406/Spec
 2024 마세라티 그레칼레,8.0 ~ 9.9km/ℓ,가솔린,중형,SUV,4WD,16809,http://file.carisyou.com/upload/2022/11/21/FILE_202211210932439380.png,300마력,https://www.carisyou.com/car/7405/Spec
 2025 기아 뉴 레이,12.6 ~ 12.9km/ℓ,가솔린,경형,RV,FF,1928,http://file.carisyou.com/upload/2022/09/01/FILE_202209010954489680.png,76마력,https://www.carisyou.com/car/7404/Spec
 2024 포드 브롱코,8.2 ~ 8.4km/ℓ,가솔린,중형,SUV,4WD,8040,http://file.carisyou.com/upload/2023/05/10/FILE_202305100959356740.png,279마력,https://www.carisyou.com/car/7403/Spec
 2024 아우디 A3(4세대),12.5 ~ 13.0km/ℓ,가솔린,준중형,세단,4WD,4740,http://file.carisyou.com/upload/2022/06/17/FILE_202206170247398980.png,204마력,https://www.carisyou.com/car/7402/Spec
 2025 현대 ST1,"-
									
									
								
								
							
							
						",전기,소형,트럭,2WD,7195,http://file.carisyou.com/upload/2024/04/24/FILE_202404240106010020.png,-마력,https://www.carisyou.com/car/7401/Spec
 2025 현대 아이오닉 5 N,3.7km/kwh,전기,준중형,SUV,4WD,7700,http://file.carisyou.com/upload/2023/09/05/FILE_202309050930266730.png,650마력,https://www.carisyou.com/car/7400/Spec
 2025 볼보 V60 크로스 컨트리(2세대),9.9km/ℓ,가솔린,준중형,왜건,4WD,6290,http://file.carisyou.com/upload/2022/09/28/FILE_202209281043138290.png,250마력,https://www.carisyou.com/car/7399/Spec
 2025 볼보 XC40,10.3km/ℓ,가솔린,준중형,SUV,4WD,5615,http://file.carisyou.com/upload/2023/09/18/FILE_202309181126106970.png,197마력,https://www.carisyou.com/car/7398/Spec
 2025 벤틀리 플라잉스퍼(4세대),"-
									
									
								
								
							
							
						",가솔린/하이브리드,대형,세단,4WD,44190,http://file.carisyou.com/upload/2024/09/12/FILE_202409121112404410.png,600마력,https://www.carisyou.com/car/7397/Spec
 2025 제네시스 뉴 일렉트리파이드 G80(RG3),4.4km/kwh,전기,준대형,세단,4WD,8468,http://file.carisyou.com/upload/2024/09/05/FILE_202409050326321790.png,370마력,https://www.carisyou.com/car/7396/Spec
 2025 혼다 파일럿(4세대),8.3km/ℓ,가솔린,대형,SUV,4WD,6960,http://file.carisyou.com/upload/2023/08/29/FILE_202308291024431350.png,289마력,https://www.carisyou.com/car/7395/Spec
 2025 볼보 S60(3세대),11.9km/ℓ,가솔린,준중형,세단,FF,5690,http://file.carisyou.com/upload/2023/09/05/FILE_202309050130160170.png,250마력,https://www.carisyou.com/car/7394/Spec
 2024 포드 익스페디션(4세대),7.2km/ℓ,가솔린,대형,SUV,4WD,11110,http://file.carisyou.com/upload/2022/08/24/FILE_202208240333362360.png,405마력,https://www.carisyou.com/car/7393/Spec
 2025 기아 뉴 쏘렌토 하이브리드(MQ4),13.8 ~ 15.7km/ℓ,가솔린/하이브리드,중형,SUV,FF,4854,http://file.carisyou.com/upload/2023/09/07/FILE_202309070442274130.png,180마력,https://www.carisyou.com/car/7392/Spec
 2025 기아 뉴 쏘렌토(MQ4),9.3 ~ 14.3km/ℓ,"가솔린,디젤",중형,SUV,FF,4631,http://file.carisyou.com/upload/2023/09/07/FILE_202309070441362840.png,281마력,https://www.carisyou.com/car/7391/Spec
 2025 현대 싼타페 하이브리드(MX5),13.0 ~ 15.5km/ℓ,가솔린/하이브리드,중형,SUV,FF,5028,http://file.carisyou.com/upload/2023/08/14/FILE_202308141019512170.png,180마력,https://www.carisyou.com/car/7388/Spec
 2025 현대 싼타페(MX5),9.7 ~ 11.0km/ℓ,가솔린,중형,SUV,FF,4598,http://file.carisyou.com/upload/2023/08/14/FILE_202308141019435910.png,281마력,https://www.carisyou.com/car/7387/Spec
 2025 볼보 XC60(2세대),9.9 ~ 11.7km/ℓ,"가솔린,가솔린/하이브리드",중형,SUV,4WD,8640,http://file.carisyou.com/upload/2021/09/17/FILE_202109170154404060.png,250마력,https://www.carisyou.com/car/7386/Spec
 2025 포르쉐 타이칸,3.6 ~ 4.5km/kwh,전기,준대형,"세단,왜건외형전체>",2WD,32300,http://file.carisyou.com/upload/2024/08/23/FILE_202408230140228330.png,408마력,https://www.carisyou.com/car/7384/Spec
 2025 렉서스 UX,18.0km/ℓ,가솔린/하이브리드,준중형,SUV,FF,5833,http://file.carisyou.com/upload/2023/01/17/FILE_202301170307563380.png,152마력,https://www.carisyou.com/car/7383/Spec
 2025 기아 EV9,3.6 ~ 4.2km/kwh,전기,대형,SUV,2WD,8849,http://file.carisyou.com/upload/2023/03/31/FILE_202303310904235010.png,218마력,https://www.carisyou.com/car/7381/Spec
 2025 폴스타 폴스타 4,3.7 ~ 4.6km/kwh,전기,중형,SUV,2WD,7190,http://file.carisyou.com/upload/2024/08/13/FILE_202408130246035850.png,272마력,https://www.carisyou.com/car/7377/Spec
 2025 기아 니로 EV(SG2),5.3km/kwh,전기,소형,SUV,2WD,5120,http://file.carisyou.com/upload/2021/11/26/FILE_202111260158469710.png,-마력,https://www.carisyou.com/car/7376/Spec
 2025 기아 니로(SG2),19.1 ~ 20.8km/ℓ,가솔린/하이브리드,소형,SUV,FF,3456,http://file.carisyou.com/upload/2023/09/22/FILE_202309220944129270.png,105마력,https://www.carisyou.com/car/7375/Spec
 2025 KGM 액티언(J120),10.1 ~ 11.0km/ℓ,가솔린,중형,SUV,FF,3796,http://file.carisyou.com/upload/2024/08/12/FILE_202408120219322800.png,170마력,https://www.carisyou.com/car/7374/Spec
 2025 기아 뉴 K8 하이브리드(GL3),16.1 ~ 18.1km/ℓ,가솔린/하이브리드,준대형,세단,FF,4988,http://file.carisyou.com/upload/2024/08/27/FILE_202408270408350340.png,180마력,https://www.carisyou.com/car/7373/Spec
 2025 기아 뉴 K8(GL3),7.8 ~ 12.0km/ℓ,"가솔린,엘피지",준대형,세단,FF,4764,http://file.carisyou.com/upload/2024/08/27/FILE_202408270407148260.png,198마력,https://www.carisyou.com/car/7372/Spec
 2024 아우디 A6(8세대),10.7 ~ 15.0km/ℓ,"가솔린,디젤",중형,세단,FF,8250,http://file.carisyou.com/upload/2021/12/14/FILE_202112140537413290.png,204마력,https://www.carisyou.com/car/7371/Spec
 2025 혼다 CR-V(6세대),12.1 ~ 15.1km/ℓ,"가솔린,가솔린/하이브리드",준중형,SUV,FF,5480,http://file.carisyou.com/upload/2023/08/11/FILE_202308110136437290.png,190마력,https://www.carisyou.com/car/7370/Spec
 2024 아우디 S7(2세대),11.5km/ℓ,디젤,준대형,해치백,4WD,12860,http://file.carisyou.com/upload/2022/02/08/FILE_202202080352549250.png,344마력,https://www.carisyou.com/car/7369/Spec
 2025 벤츠 EQA,5.0km/kwh,전기,준중형,SUV,2WD,7510,http://file.carisyou.com/upload/2024/08/07/FILE_202408070944213890.png,190마력,https://www.carisyou.com/car/7368/Spec
 2025 벤츠 GLB,9.2 ~ 14.2km/ℓ,"가솔린,디젤",준중형,SUV,4WD,7850,http://file.carisyou.com/upload/2023/12/22/FILE_202312220344117220.png,224마력,https://www.carisyou.com/car/7367/Spec
 2025 BMW 4시리즈(2세대),11.0 ~ 12.3km/ℓ,가솔린,준중형,"컨버터블,쿠페,해치백외형전체>",FR,170,http://file.carisyou.com/upload/2024/07/29/FILE_202407290138122950.png,190마력,https://www.carisyou.com/car/7366/Spec
 2025 벤츠 A클래스(4세대),9.1 ~ 12.5km/ℓ,가솔린,준중형,"세단,해치백외형전체>",FF,8770,http://file.carisyou.com/upload/2023/11/15/FILE_202311150242357690.png,190마력,https://www.carisyou.com/car/7365/Spec
 2024 대창모터스 e-토비,5.1km/kwh,전기,경형,버스,2WD,3290,http://file.carisyou.com/upload/2024/07/26/FILE_202407260406062010.png,40마력,https://www.carisyou.com/car/7364/Spec
 2024 벤츠 마이바흐 EQS SUV,3.5km/kwh,전기,대형,SUV,4WD,25500,http://file.carisyou.com/upload/2024/07/25/FILE_202407251054090490.png,658마력,https://www.carisyou.com/car/7363/Spec
 2024 지프 어벤저,5.0km/kwh,전기,소형,SUV,2WD,5640,http://file.carisyou.com/upload/2024/07/24/FILE_202407241025030410.png,156마력,https://www.carisyou.com/car/7362/Spec
 2025 렉서스 LM(2세대),10.1km/ℓ,가솔린/하이브리드,대형,RV,4WD,19457,http://file.carisyou.com/upload/2024/07/23/FILE_202407230205049660.png,275마력,https://www.carisyou.com/car/7361/Spec
 2025 포르쉐 마칸 일렉트릭,4.0 ~ 4.3km/kwh,전기,준중형,SUV,2WD,13850,http://file.carisyou.com/upload/2024/07/17/FILE_202407170128256560.png,360마력,https://www.carisyou.com/car/7360/Spec
 2025 기아 봉고3 트럭,6.1 ~ 7.0km/ℓ,엘피지,소형,트럭,FR,4150,http://file.carisyou.com/upload/2021/12/28/FILE_202112281242281790.png,138마력,https://www.carisyou.com/car/7359/Spec
 2025 기아 뉴 셀토스,10.8 ~ 12.9km/ℓ,가솔린,소형,SUV,FF,2926,http://file.carisyou.com/upload/2022/08/31/FILE_202208311042297900.png,149마력,https://www.carisyou.com/car/7358/Spec
 2024 벤츠 EQS SUV,3.6 ~ 3.7km/kwh,전기,대형,SUV,4WD,18610,http://file.carisyou.com/upload/2024/03/26/FILE_202403261017567070.png,360마력,https://www.carisyou.com/car/7357/Spec
 2025 폭스바겐 투아렉(3세대),10.8km/ℓ,디젤,중형,SUV,4WD,1508,http://file.carisyou.com/upload/2024/07/11/FILE_202407110516440680.png,286마력,https://www.carisyou.com/car/7356/Spec
 2025 알핀 A110(2세대),"-
									
									
								
								
							
							
						",가솔린,소형,쿠페,MR,13650,http://file.carisyou.com/upload/2024/07/09/FILE_202407090419381740.png,300마력,https://www.carisyou.com/car/7355/Spec
 2025 현대 캐스퍼 일렉트릭,5.1 ~ 5.8km/kwh,전기,소형,SUV,2WD,3190,http://file.carisyou.com/upload/2024/07/09/FILE_202407090104299560.png,96.7마력,https://www.carisyou.com/car/7353/Spec
 2025 마세라티 그란투리스모(2세대),"3.5 ~ 8.4km/kwh,km/ℓ","가솔린,전기",중형,쿠페,4WD,3225,http://file.carisyou.com/upload/2024/07/04/FILE_202407040523534100.png,490마력,https://www.carisyou.com/car/7352/Spec
 2025 마세라티 그란카브리오(2세대),8.1km/ℓ,가솔린,중형,컨버터블,4WD,31225,http://file.carisyou.com/upload/2024/07/04/FILE_202407040523456540.png,550마력,https://www.carisyou.com/car/7351/Spec
 2025 벤츠 GLA(2세대),10.9km/ℓ,가솔린,준중형,SUV,4WD,6910,http://file.carisyou.com/upload/2023/12/28/FILE_202312280958082120.png,224마력,https://www.carisyou.com/car/7350/Spec
 2025 벤츠 CLA(2세대),9.2 ~ 12.0km/ℓ,가솔린,준중형,세단,4WD,9350,http://file.carisyou.com/upload/2023/12/28/FILE_202312281000380360.png,224마력,https://www.carisyou.com/car/7349/Spec
 2024 현대 뉴 카운티,"-
									
									
								
								
							
							
						",디젤,준중형,버스,2WD,9329,http://file.carisyou.com/upload/2021/07/08/FILE_202107080352560620.png,170마력,https://www.carisyou.com/car/7348/Spec
 2025 르노코리아 그랑 콜레오스 하이브리드,15.0 ~ 15.7km/ℓ,가솔린/하이브리드,중형,SUV,FF,4406,http://file.carisyou.com/upload/2024/06/27/FILE_202406270345512430.png,144마력,https://www.carisyou.com/car/7347/Spec
 2025 르노코리아 그랑 콜레오스,9.8 ~ 11.1km/ℓ,가솔린,중형,SUV,FF,4304,http://file.carisyou.com/upload/2024/06/27/FILE_202406270345386230.png,211마력,https://www.carisyou.com/car/7346/Spec
 2024 비야디 T4K,2.6km/kwh,전기,소형,트럭,2WD,6490,http://file.carisyou.com/upload/2023/04/10/FILE_202304100429513810.png,190마력,https://www.carisyou.com/car/7345/Spec
 2025 벤츠 EQB,4.1km/kwh,전기,준중형,SUV,4WD,8360,http://file.carisyou.com/upload/2024/05/23/FILE_202405230155042960.png,228마력,https://www.carisyou.com/car/7344/Spec
 2025 현대 뉴 아반떼 N,10.4 ~ 10.6km/ℓ,가솔린,준중형,세단,FF,3517,http://file.carisyou.com/upload/2023/07/26/FILE_202307260936452240.png,280마력,https://www.carisyou.com/car/7343/Spec
 2025 현대 뉴 아반떼 하이브리드(CN7),18.5 ~ 21.1km/ℓ,가솔린/하이브리드,준중형,세단,FF,3154,http://file.carisyou.com/upload/2023/03/13/FILE_202303131057436250.png,105마력,https://www.carisyou.com/car/7342/Spec
 2025 현대 뉴 아반떼(CN7),10.3 ~ 15.0km/ℓ,"가솔린,엘피지",준중형,세단,FF,2783,http://file.carisyou.com/upload/2023/03/13/FILE_202303130931074190.png,123마력,https://www.carisyou.com/car/7341/Spec
 2025 토요타 크라운,11.0 ~ 17.2km/ℓ,가솔린/하이브리드,준대형,세단,4WD,6845,http://file.carisyou.com/upload/2023/05/23/FILE_202305230342432280.png,186마력,https://www.carisyou.com/car/7340/Spec
 2025 랜드로버 레인지로버 벨라,8.2 ~ 9.1km/ℓ,"가솔린,가솔린/하이브리드",중형,SUV,4WD,12527,http://file.carisyou.com/upload/2024/01/19/FILE_202401190552088170.png,250마력,https://www.carisyou.com/car/7339/Spec
 2024 혼다 어코드(11세대),12.9 ~ 16.7km/ℓ,"가솔린,가솔린/하이브리드",중형,세단,FF,5280,http://file.carisyou.com/upload/2023/10/06/FILE_202310060123158570.png,190마력,https://www.carisyou.com/car/7338/Spec
 2024 기아 뉴 모닝(JA),14.7km/ℓ,가솔린,경형,해치백,FF,1820,http://file.carisyou.com/upload/2023/08/17/FILE_202308170339556250.png,76마력,https://www.carisyou.com/car/7337/Spec
 2025 현대 그랜저 하이브리드(GN7),15.7 ~ 18.0km/ℓ,가솔린/하이브리드,준대형,세단,FF,5332,http://file.carisyou.com/upload/2022/11/15/FILE_202211150146388510.png,180마력,https://www.carisyou.com/car/7336/Spec
 2025 현대 그랜저(GN7),7.8 ~ 11.7km/ℓ,"가솔린,엘피지",준대형,세단,FF,5023,http://file.carisyou.com/upload/2022/11/15/FILE_202211150145504180.png,198마력,https://www.carisyou.com/car/7335/Spec
 2024 아우디 SQ8 e-트론,2.6km/kwh,전기,대형,SUV,4WD,15272,http://file.carisyou.com/upload/2024/06/05/FILE_202406050448308390.png,503마력,https://www.carisyou.com/car/7334/Spec
 2024 아우디 Q8 e-트론,2.9 ~ 3.0km/kwh,전기,대형,SUV,4WD,13560,http://file.carisyou.com/upload/2024/06/05/FILE_202406050417457810.png,340마력,https://www.carisyou.com/car/7333/Spec
 2024 미니 미니 컨트리맨(3세대),10.3 ~ 10.8km/ℓ,가솔린,소형,SUV,4WD,6700,http://file.carisyou.com/upload/2024/06/07/FILE_202406070138060760.png,204마력,https://www.carisyou.com/car/7332/Spec
 2025 미니 미니 쿠퍼(4세대),12.0 ~ 12.7km/ℓ,가솔린,소형,해치백,FF,5510,http://file.carisyou.com/upload/2024/07/01/FILE_202407011011327350.png,163마력,https://www.carisyou.com/car/7331/Spec
 2025 BMW M4(2세대),8.0 ~ 8.2km/ℓ,가솔린,준중형,"컨버터블,쿠페외형전체>",4WD,18890,http://file.carisyou.com/upload/2024/06/07/FILE_202406071002508050.png,530마력,https://www.carisyou.com/car/7330/Spec
 2025 BMW Z4(3세대),10.2 ~ 10.7km/ℓ,가솔린,소형,컨버터블,FR,9910,http://file.carisyou.com/upload/2023/03/10/FILE_202303101041326420.png,197마력,https://www.carisyou.com/car/7329/Spec
 2024 기아 EV3,5.1 ~ 5.4km/kwh,전기,소형,SUV,2WD,4850,http://file.carisyou.com/upload/2024/06/04/FILE_202406041058132380.png,204마력,https://www.carisyou.com/car/7328/Spec
 2025 미니 미니 컨트리맨 일렉트릭(3세대),4.4 ~ 4.8km/kwh,전기,소형,SUV,2WD,6610,http://file.carisyou.com/upload/2024/05/27/FILE_202405270349078850.png,204마력,https://www.carisyou.com/car/7325/Spec
